,search_course,course_organization,course_title,course_type,course_difficulty,course_link,course_students_enrolled,skill
11,Data Science,IBM,IBM Data Engineering,Professional Certificate,Beginner,https://www.coursera.org/professional-certificates/ibm-data-engineer,500k,"['Relational Database Management Syste (RDBMS)', 'ETL & Data Pipelines', 'NoSQL and Big Data', 'Apache Spark', 'SQL', 'Data Science', 'Database (DBMS)', 'NoSQL', 'Python Programming', 'Data Analysis', 'Pandas', 'Numpy']"
12,Data Science,Johns Hopkins University,Advanced Statistics for Data Science,Specialization,Advanced,https://www.coursera.org/specializations/advanced-statistics-data-science,95k,"['R Programming', 'Linear Regression', 'Statistical Hypothesis Testing', 'Statistics', 'Linear Algebra', 'Confidence Interval', 'Biostatistics']"
13,Data Science,Johns Hopkins University,A Crash Course in Data Science,Course,Beginner,https://www.coursera.org/learn/data-science-course,180k,"['Data Science', 'Data Analysis', 'Machine Learning', 'Project']"
14,Data Science,IBM,IBM Machine Learning,Professional Certificate,Intermediate,https://www.coursera.org/professional-certificates/ibm-machine-learning,38k,"['Data Science', 'Deep Learning', 'Artificial Intelligence (AI)', 'Machine Learning', 'Python Programming', 'Feature Engineering', 'Statistical Hypothesis Testing', 'Exploratory Data Analysis', 'Regression Analysis', 'Supervised Learning', 'Linear Regression', 'Ridge Regression']"
15,Data Science,Johns Hopkins University,Data Science: Statistics and Machine Learning,Specialization,Intermediate,https://www.coursera.org/specializations/data-science-statistics-machine-learning,290k,"['Machine Learning', 'Github', 'R Programming', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistics', 'Statistical Inference', 'Statistical Hypothesis Testing', 'Model Selection', 'Generalized Linear Model', 'Linear Regression', 'Random Forest']"
16,Data Science,IBM,What is Data Science?,Course,Beginner,https://www.coursera.org/learn/what-is-datascience,560k,"['Data Science', 'Deep Learning', 'Machine Learning', 'Big Data', 'Data Mining']"
17,Data Science,University of Colorado Boulder,Data Science Foundations: Data Structures and Algorithms,Specialization,Advanced,https://www.coursera.org/specializations/boulder-data-structures-algorithms,12k,"['Algorithm Design', 'Python Programming', 'Data Structure Design', 'Analysis of Algorithms', 'Hashtables', 'Graphs Algorithms', 'Intractability']"
18,Data Science,Duke University,Data Science Math Skills,Course,Beginner,https://www.coursera.org/learn/datasciencemathskills,300k,"[""Bayes' Theorem"", 'Bayesian Probability', 'Probability', 'Probability Theory']"
19,Data Science,IBM,Applied Data Science,Specialization,Beginner,https://www.coursera.org/specializations/applied-data-science,500k,"['Data Science', 'Python Programming', 'Data Analysis', 'Pandas', 'Numpy', 'Ipython', 'Predictive Modelling', 'Data Visualization (DataViz)', 'Model Selection', 'Data Virtualization', 'Plotly', 'Matplotlib']"
20,Data Science,CertNexus,CertNexus Certified Data Science Practitioner,Professional Certificate,Intermediate,https://www.coursera.org/professional-certificates/certified-data-science-practitioner,Unknown,"['Data Manipulation', 'Machine Learning', 'Data Analysis', 'Extraction, Transformation And Loading (ETL)', 'Data Model', 'Data-Informed Decision-Making', 'Scope (Project Management)', 'Business Process', 'Cleaning', 'Data Mining', 'Data Insight', 'Dissemination']"
21,Data Science,Google,Google IT Automation with Python,Professional Certificate,Beginner,https://www.coursera.org/professional-certificates/google-it-automation,600k,"['Using Version Control', 'Troubleshooting & Debugging', 'Python Programming', 'Configuration Management', 'Automation', 'Basic Python Data Structures', 'Fundamental Programming Concepts', 'Basic Python Syntax', 'Object-Oriented Programming (OOP)', 'Setting up your Development Environment', 'Regular Expression (REGEX)', 'Testing in Python']"
22,Data Science,(ISC)²,(ISC)² Systems Security Certified Practitioner (SSCP),Specialization,Beginner,https://www.coursera.org/specializations/sscp-training,13k,[]
23,Data Science,"University of California, Davis",SQL for Data Science,Course,Beginner,https://www.coursera.org/learn/sql-for-data-science,390k,"['Data Science', 'Data Analysis', 'Sqlite', 'SQL']"
24,Data Science,IBM,"Python for Data Science, AI & Development",Course,Beginner,https://www.coursera.org/learn/python-for-applied-data-science-ai,380k,"['Data Science', 'Python Programming', 'Data Analysis', 'Pandas', 'Numpy']"
25,Data Science,Università di Napoli Federico II,Data Science con Python e R,Specialization,Intermediate,https://www.coursera.org/specializations/data-science-con-python-e-r,Unknown,"['PyTorch NumPy Pandas Matplotlib', 'Python Programming', 'Regressione LASSO PLS Ridge  lineare multipla', 'Regressione e clustering con R', 'dplyr tidyverse ggplot2 tidyr', 'Pacchetti R: dplyr ggplot2 laps glmnet pls', 'Reti neurali artificiali di tipo shallow e deep', 'Apprendimento supervisionato e non supervisionato', 'Acquisire raccogliere organizzare elaborare e modellare i dati', 'Problem solving proattivo', 'Scrittura di codici in maniera corretta ed efficace', 'Analizzare dati strutturati e non strutturati']"
26,Data Science,IBM,IBM AI Enterprise Workflow,Specialization,Advanced,https://www.coursera.org/specializations/ibm-ai-workflow,9.7k,"['Data Science', 'Information Engineering', 'Artificial Intelligence (AI)', 'Machine Learning', 'Python Programming']"
27,Data Science,Google,"Foundations: Data, Data, Everywhere",Course,Beginner,https://www.coursera.org/learn/foundations-data,720k,"['Spreadsheet', 'Data Cleansing', 'Data Analysis', 'Data Visualization (DataViz)', 'SQL']"
28,Data Science,MathWorks,Practical Data Science with MATLAB,Specialization,Beginner,https://www.coursera.org/specializations/practical-data-science-matlab,39k,"['Data Analysis', 'Data Visualization (DataViz)', 'Matlab', 'Feature Engineering', 'Data Cleansing', 'Machine Learning', 'Predictive Modelling', 'Data Science']"
29,Data Science,Johns Hopkins University,Tidyverse Skills for Data Science in R,Specialization,Beginner,https://www.coursera.org/specializations/tidyverse-data-science-r,2.8k,"['Data Science', 'Predictive Modelling', 'R Programming', 'Data Visualization (DataViz)', 'Data Analysis Software', 'Data Management', 'tidying data']"
30,Data Science,University of Colorado Boulder,Data Science Foundations: Statistical Inference,Specialization,Intermediate,https://www.coursera.org/specializations/statistical-inference-for-data-science-applications,7.7k,"['Inference', 'Statistics', 'Data Science', 'Probability', 'central limit theorem', 'continuous random variables', ""Bayes' Theorem"", 'discrete random variables']"
